time,twsa
2002-04-01,13.439959
2002-05-01,12.26653
2002-06-01,8.173838859160464
2002-07-01,3.411904193168016
2002-08-01,0.6031624
2002-09-01,-1.7630242
2002-10-01,-2.9422116
2002-11-01,-0.81673574
2002-12-01,4.0100565
2003-01-01,-0.06171529
2003-02-01,12.1915865
2003-03-01,14.723794
2003-04-01,7.264229
2003-05-01,6.5264444
2003-06-01,4.395251025086771
2003-07-01,-3.5992396
2003-08-01,-4.13622
2003-09-01,-3.7182908
2003-10-01,-10.417537
2003-11-01,-0.86976737
2003-12-01,1.3169875
2004-01-01,5.5872884
2004-02-01,11.897502
2004-03-01,12.436592
2004-04-01,12.888665
2004-05-01,9.620922
2004-06-01,8.592358
2004-07-01,9.266895
2004-08-01,0.8256612
2004-09-01,-1.619482
2004-10-01,-8.833653
2004-11-01,-3.6751785
2004-12-01,2.5729117
2005-01-01,2.690877
2005-02-01,7.5215
2005-03-01,10.765585
2005-04-01,11.604352
2005-05-01,13.516187
2005-06-01,12.461915
2005-07-01,3.1383502
2005-08-01,-1.4159317
2005-09-01,-2.7414904
2005-10-01,-2.061794
2005-11-01,-0.077724606
2005-12-01,2.767703
2006-01-01,8.963545
2006-02-01,4.5625615
2006-03-01,4.377019
2006-04-01,14.349674
2006-05-01,13.511638
2006-06-01,7.1404295
2006-07-01,6.133397
2006-08-01,-8.317083
2006-09-01,-5.5195384
2006-10-01,-6.3216434
2006-11-01,-0.2840299
2006-12-01,2.037081
2007-01-01,-6.124894
2007-02-01,0.9866969
2007-03-01,4.176499
2007-04-01,4.9911947
2007-05-01,-2.8771968
2007-06-01,-7.6546674
2007-07-01,-7.0452147
2007-08-01,-13.222018
2007-09-01,-11.867225
2007-10-01,-16.990328
2007-11-01,-9.675706
2007-12-01,0.5636277
2008-01-01,-0.7308564
2008-02-01,5.217264
2008-03-01,-9.018564
2008-04-01,-0.32509005
2008-05-01,-0.0707089
2008-06-01,-6.655646
2008-07-01,-9.286253
2008-08-01,-12.106834
2008-09-01,-15.381996
2008-10-01,-15.256289
2008-11-01,-17.55457
2008-12-01,-6.5699615
2009-01-01,-5.792867
