basin,time,precip
Konya Kapalı Havzası,2002-01-01,2.06511064339586
Konya Kapalı Havzası,2002-02-01,0.9536051135072546
Konya Kapalı Havzası,2002-03-01,1.6268763798457124
Konya Kapalı Havzası,2002-04-01,2.7799519265750128
Konya Kapalı Havzası,2002-05-01,1.265582625468821
Konya Kapalı Havzası,2002-06-01,0.3972047540877686
Konya Kapalı Havzası,2002-07-01,0.963572916838724
Konya Kapalı Havzası,2002-08-01,0.35252565113287027
Konya Kapalı Havzası,2002-09-01,0.7190989815850105
Konya Kapalı Havzası,2002-10-01,0.40165542671650867
Konya Kapalı Havzası,2002-11-01,1.1144427910951649
Konya Kapalı Havzası,2002-12-01,1.6738501775480925
Konya Kapalı Havzası,2003-01-01,1.3118023160332628
Konya Kapalı Havzası,2003-02-01,2.909213719026374
Konya Kapalı Havzası,2003-03-01,1.7844560175120934
Konya Kapalı Havzası,2003-04-01,2.440780954465641
Konya Kapalı Havzası,2003-05-01,1.4084193273238979
Konya Kapalı Havzası,2003-06-01,0.3788586629606605
Konya Kapalı Havzası,2003-07-01,0.0420137446748632
Konya Kapalı Havzası,2003-08-01,0.07715408343904437
Konya Kapalı Havzası,2003-09-01,0.795941997960724
Konya Kapalı Havzası,2003-10-01,0.970532036970329
Konya Kapalı Havzası,2003-11-01,0.9349945860730303
Konya Kapalı Havzası,2003-12-01,1.7361891018189266
Konya Kapalı Havzası,2004-01-01,3.1994614678386544
Konya Kapalı Havzası,2004-02-01,1.4601894831792332
Konya Kapalı Havzası,2004-03-01,0.8625997150510141
Konya Kapalı Havzası,2004-04-01,1.9120496348598275
Konya Kapalı Havzası,2004-05-01,1.1052680575472436
Konya Kapalı Havzası,2004-06-01,0.8985569819270052
Konya Kapalı Havzası,2004-07-01,0.4329712661419084
Konya Kapalı Havzası,2004-08-01,0.22183759235457828
Konya Kapalı Havzası,2004-09-01,0.027172904146437412
Konya Kapalı Havzası,2004-10-01,0.21728302659517842
Konya Kapalı Havzası,2004-11-01,2.1648335622415606
Konya Kapalı Havzası,2004-12-01,0.7000586034554483
Konya Kapalı Havzası,2005-01-01,1.566353579155137
Konya Kapalı Havzası,2005-02-01,1.3554691565943922
Konya Kapalı Havzası,2005-03-01,1.743766206318137
Konya Kapalı Havzası,2005-04-01,1.5802929813689384
Konya Kapalı Havzası,2005-05-01,1.3171318117103508
Konya Kapalı Havzası,2005-06-01,0.6253744718145878
Konya Kapalı Havzası,2005-07-01,0.3296691972252584
Konya Kapalı Havzası,2005-08-01,0.13742254991578082
Konya Kapalı Havzası,2005-09-01,0.41519809240137334
Konya Kapalı Havzası,2005-10-01,0.8929205925424206
Konya Kapalı Havzası,2005-11-01,2.636682880235153
Konya Kapalı Havzası,2005-12-01,0.7891564338540862
Konya Kapalı Havzası,2006-01-01,1.8525739691108651
Konya Kapalı Havzası,2006-02-01,1.6078813421571647
Konya Kapalı Havzası,2006-03-01,1.716700789220583
Konya Kapalı Havzası,2006-04-01,1.7348290111178517
Konya Kapalı Havzası,2006-05-01,0.9660027852960364
Konya Kapalı Havzası,2006-06-01,0.6811561303010388
Konya Kapalı Havzası,2006-07-01,0.25810900481505217
Konya Kapalı Havzası,2006-08-01,0.2043286810596935
Konya Kapalı Havzası,2006-09-01,0.9745051723128408
Konya Kapalı Havzası,2006-10-01,2.0819791291258007
Konya Kapalı Havzası,2006-11-01,1.312503993635331
Konya Kapalı Havzası,2006-12-01,0.17766046817723302
Konya Kapalı Havzası,2007-01-01,1.2624816338431049
Konya Kapalı Havzası,2007-02-01,1.5755954572293362
Konya Kapalı Havzası,2007-03-01,1.672124719179954
Konya Kapalı Havzası,2007-04-01,1.3308937414662234
Konya Kapalı Havzası,2007-05-01,0.9890391564906406
Konya Kapalı Havzası,2007-06-01,0.9515056588871414
Konya Kapalı Havzası,2007-07-01,0.092219472155997
Konya Kapalı Havzası,2007-08-01,0.3030468325784943
Konya Kapalı Havzası,2007-09-01,0.14745296970115745
Konya Kapalı Havzası,2007-10-01,0.6543269504605311
Konya Kapalı Havzası,2007-11-01,2.358483040587405
Konya Kapalı Havzası,2007-12-01,2.211176377769313
Konya Kapalı Havzası,2008-01-01,1.078454783891899
Konya Kapalı Havzası,2008-02-01,1.2086012646110003
Konya Kapalı Havzası,2008-03-01,1.252156272476387
Konya Kapalı Havzası,2008-04-01,0.7952063685132513
Konya Kapalı Havzası,2008-05-01,1.1208468695284364
Konya Kapalı Havzası,2008-06-01,0.409795347242122
Konya Kapalı Havzası,2008-07-01,0.07262629602667658
Konya Kapalı Havzası,2008-08-01,0.10924535160459495
Konya Kapalı Havzası,2008-09-01,1.1553049566076747
Konya Kapalı Havzası,2008-10-01,0.8047335981866114
Konya Kapalı Havzası,2008-11-01,1.138664203590334
Konya Kapalı Havzası,2008-12-01,1.556127711929976
Konya Kapalı Havzası,2009-01-01,2.1462445007549893
Konya Kapalı Havzası,2009-02-01,2.650617630822222
Konya Kapalı Havzası,2009-03-01,2.1041324327278486
Konya Kapalı Havzası,2009-04-01,1.96872886123913
Konya Kapalı Havzası,2009-05-01,2.020005116363419
Konya Kapalı Havzası,2009-06-01,0.5340513373758375
Konya Kapalı Havzası,2009-07-01,0.6095021921026738
Konya Kapalı Havzası,2009-08-01,0.08605383140447878
Konya Kapalı Havzası,2009-09-01,0.6312982833798556
Konya Kapalı Havzası,2009-10-01,0.6353479078652547
Konya Kapalı Havzası,2009-11-01,1.880816020571891
Konya Kapalı Havzası,2009-12-01,2.3880682219415674
Konya Kapalı Havzası,2010-01-01,2.285238828809595
Konya Kapalı Havzası,2010-02-01,2.1368740747417356
Konya Kapalı Havzası,2010-03-01,1.1151708687137871
Konya Kapalı Havzası,2010-04-01,1.9068850987614254
Konya Kapalı Havzası,2010-05-01,0.8420876214781228
Konya Kapalı Havzası,2010-06-01,2.008206884993845
Konya Kapalı Havzası,2010-07-01,0.11860750245713707
Konya Kapalı Havzası,2010-08-01,0.0653270082921975
Konya Kapalı Havzası,2010-09-01,0.27867323814032396
Konya Kapalı Havzası,2010-10-01,1.895215437306771
Konya Kapalı Havzası,2010-11-01,0.2456333566403838
Konya Kapalı Havzası,2010-12-01,2.4308540700982117
Konya Kapalı Havzası,2011-01-01,1.8550021904295162
Konya Kapalı Havzası,2011-02-01,1.5568609540996832
Konya Kapalı Havzası,2011-03-01,1.9169638330874617
Konya Kapalı Havzası,2011-04-01,2.417960618432829
Konya Kapalı Havzası,2011-05-01,2.1751371295787583
Konya Kapalı Havzası,2011-06-01,1.431180250151302
Konya Kapalı Havzası,2011-07-01,0.11614699459328372
Konya Kapalı Havzası,2011-08-01,0.1170984576384774
Konya Kapalı Havzası,2011-09-01,0.30437631709904345
Konya Kapalı Havzası,2011-10-01,0.8671388981153815
Konya Kapalı Havzası,2011-11-01,0.7591311880120675
Konya Kapalı Havzası,2011-12-01,1.4843524434846038
Konya Kapalı Havzası,2012-01-01,3.472856033275081
Konya Kapalı Havzası,2012-02-01,2.352257918448254
Konya Kapalı Havzası,2012-03-01,1.4593974667778673
