basin,time,twsa
Konya Kapalı Havzası,2002-04-01,16.620389938354492
Konya Kapalı Havzası,2002-05-01,10.482553482055664
Konya Kapalı Havzası,2002-06-01,7.020166286062092
Konya Kapalı Havzası,2002-07-01,3.12573891997602
Konya Kapalı Havzası,2002-08-01,-0.8841498494148254
Konya Kapalı Havzası,2002-09-01,-1.826054811477661
Konya Kapalı Havzası,2002-10-01,-2.7931342124938965
Konya Kapalı Havzası,2002-11-01,-0.4667485356330871
Konya Kapalı Havzası,2002-12-01,0.6163284778594971
Konya Kapalı Havzası,2003-01-01,5.130791664123535
Konya Kapalı Havzası,2003-02-01,10.103841781616213
Konya Kapalı Havzası,2003-03-01,14.905728340148926
Konya Kapalı Havzası,2003-04-01,14.478178977966309
Konya Kapalı Havzası,2003-05-01,12.220939636230469
Konya Kapalı Havzası,2003-06-01,6.995519419200985
Konya Kapalı Havzası,2003-07-01,2.603637933731079
Konya Kapalı Havzası,2003-08-01,-0.8049951791763306
Konya Kapalı Havzası,2003-09-01,-1.58978533744812
Konya Kapalı Havzası,2003-10-01,-4.005110740661621
Konya Kapalı Havzası,2003-11-01,-2.7145471572875977
Konya Kapalı Havzası,2003-12-01,0.3865572214126587
Konya Kapalı Havzası,2004-01-01,7.734655857086182
Konya Kapalı Havzası,2004-02-01,16.222673416137695
Konya Kapalı Havzası,2004-03-01,14.91089153289795
Konya Kapalı Havzası,2004-04-01,14.16161060333252
Konya Kapalı Havzası,2004-05-01,9.399184226989746
Konya Kapalı Havzası,2004-06-01,5.858651161193848
Konya Kapalı Havzası,2004-07-01,4.786168098449707
Konya Kapalı Havzası,2004-08-01,-0.0028029289096593
Konya Kapalı Havzası,2004-09-01,-2.5342395305633545
Konya Kapalı Havzası,2004-10-01,-6.4019455909729
Konya Kapalı Havzası,2004-11-01,-4.400522708892822
Konya Kapalı Havzası,2004-12-01,0.1590135395526886
Konya Kapalı Havzası,2005-01-01,2.9558098316192627
Konya Kapalı Havzası,2005-02-01,8.747766494750977
Konya Kapalı Havzası,2005-03-01,13.195674896240234
Konya Kapalı Havzası,2005-04-01,10.666053771972656
Konya Kapalı Havzası,2005-05-01,7.834014892578125
Konya Kapalı Havzası,2005-06-01,6.237549304962158
Konya Kapalı Havzası,2005-07-01,-0.7731447815895081
Konya Kapalı Havzası,2005-08-01,-3.049196243286133
Konya Kapalı Havzası,2005-09-01,-4.397775650024414
Konya Kapalı Havzası,2005-10-01,-4.732995986938477
Konya Kapalı Havzası,2005-11-01,-2.556978225708008
Konya Kapalı Havzası,2005-12-01,0.0289557017385959
Konya Kapalı Havzası,2006-01-01,3.522421360015869
Konya Kapalı Havzası,2006-02-01,8.625886917114258
Konya Kapalı Havzası,2006-03-01,13.90473461151123
Konya Kapalı Havzası,2006-04-01,11.72132682800293
Konya Kapalı Havzası,2006-05-01,6.041416168212891
Konya Kapalı Havzası,2006-06-01,2.224257707595825
Konya Kapalı Havzası,2006-07-01,-0.8728055357933044
Konya Kapalı Havzası,2006-08-01,-5.610553741455078
Konya Kapalı Havzası,2006-09-01,-6.545713901519775
Konya Kapalı Havzası,2006-10-01,-5.367365837097168
Konya Kapalı Havzası,2006-11-01,0.391920268535614
Konya Kapalı Havzası,2006-12-01,-1.628077745437622
Konya Kapalı Havzası,2007-01-01,1.698133945465088
Konya Kapalı Havzası,2007-02-01,4.958397388458252
Konya Kapalı Havzası,2007-03-01,6.997461318969727
Konya Kapalı Havzası,2007-04-01,2.769911289215088
Konya Kapalı Havzası,2007-05-01,1.5976094007492063
Konya Kapalı Havzası,2007-06-01,-1.2096679210662842
Konya Kapalı Havzası,2007-07-01,-4.6861677169799805
Konya Kapalı Havzası,2007-08-01,-9.688584327697754
Konya Kapalı Havzası,2007-09-01,-10.658945083618164
Konya Kapalı Havzası,2007-10-01,-11.090041160583496
Konya Kapalı Havzası,2007-11-01,-8.566102981567383
Konya Kapalı Havzası,2007-12-01,-2.9294369220733643
Konya Kapalı Havzası,2008-01-01,0.4264593422412872
