,twsa_forecast
2025-04-01,-10.45646222820636
2025-05-01,-10.281448588790452
2025-06-01,-12.073421124381467
2025-07-01,-17.377137051052497
2025-08-01,-23.520116599618458
2025-09-01,-28.054332034821837
2025-10-01,-29.977587744400576
2025-11-01,-28.016245898138973
2025-12-01,-23.76754365190774
2026-01-01,-18.55491709563881
2026-02-01,-13.312461980770136
2026-03-01,-9.856142661597513
2026-04-01,-7.725024140474031
2026-05-01,-7.870799335820263
2026-06-01,-10.34138425936976
2026-07-01,-15.897548444774882
2026-08-01,-21.649466420378527
2026-09-01,-25.78599618663949
2026-10-01,-27.25275040568877
2026-11-01,-25.06616031367116
2026-12-01,-20.85757297440352
2027-01-01,-15.751792571050371
2027-02-01,-10.766229687911673
2027-03-01,-7.460491817488443
2027-04-01,-5.153770347486554
2027-05-01,-5.296373576600215
2027-06-01,-7.964058363328147
2027-07-01,-13.90206770813455
2027-08-01,-20.09850052319234
2027-09-01,-24.516427972998823
2027-10-01,-26.089823857800663
2027-11-01,-23.97215882086817
2027-12-01,-19.640484700560474
2028-01-01,-14.483474627348583
2028-02-01,-9.352427983324613
2028-03-01,-6.053488103476977
2028-04-01,-4.14089551388565
2028-05-01,-4.5005546211455085
2028-06-01,-7.391816333350559
2028-07-01,-13.480073828931664
2028-08-01,-19.731663433463037
2028-09-01,-24.13941965956843
2028-10-01,-25.671910866118818
2028-11-01,-23.520990903001344
2028-12-01,-19.171360555574037
2029-01-01,-14.010722847883981
2029-02-01,-8.893162695821442
2029-03-01,-5.623250332339691
2029-04-01,-3.760092111922174
2029-05-01,-4.197015164175011
2029-06-01,-7.173327434926702
2029-07-01,-13.327011161926235
2029-08-01,-19.604701057132726
2029-09-01,-23.99661677369698
2029-10-01,-25.489559840854266
2029-11-01,-23.29645594711388
2029-12-01,-18.91030451436313
2030-01-01,-13.73017290049148
2030-02-01,-8.6118253923438
2030-03-01,-5.367709003995057
