,twsa_forecast
2025-04-01,-7.291528207199636
2025-05-01,-7.752688067919496
2025-06-01,-9.1269251132499
2025-07-01,-12.104477262192908
2025-08-01,-17.81015514299381
2025-09-01,-22.88638076693343
2025-10-01,-25.09880338273507
2025-11-01,-24.201833575373175
2025-12-01,-20.566542573537994
2026-01-01,-16.112919224132927
2026-02-01,-10.828885102464382
2026-03-01,-7.061007709210696
2026-04-01,-4.716670528724792
2026-05-01,-3.782730975616279
2026-06-01,-5.581469352727475
2026-07-01,-8.557322057116213
2026-08-01,-14.61515119255859
2026-09-01,-19.61397820038529
2026-10-01,-20.316552352068623
2026-11-01,-16.310676422903125
2026-12-01,-8.130128599557581
2027-01-01,1.6825831215354186
2027-02-01,12.061585748789607
2027-03-01,17.656012656217456
2027-04-01,21.18612843990314
2027-05-01,20.13048424124843
2027-06-01,17.078776556112228
2027-07-01,11.713077537861823
2027-08-01,4.065059821394263
2027-09-01,-1.421865170873823
2027-10-01,-1.5668094797576093
2027-11-01,2.934530835291503
2027-12-01,9.167296745324014
2028-01-01,14.21028120165652
2028-02-01,17.273538042128443
2028-03-01,16.837609632314503
2028-04-01,15.075491233415246
2028-05-01,11.528535207095384
2028-06-01,7.979921499508976
2028-07-01,3.452125747967599
2028-08-01,-2.5671655105881714
2028-09-01,-6.886822673799577
2028-10-01,-7.629672697650912
2028-11-01,-5.4459603343085075
2028-12-01,-1.798255195197644
2029-01-01,1.852967697763739
2029-02-01,5.149424311760066
2029-03-01,6.430448911453186
2029-04-01,7.217410604821859
2029-05-01,6.425434104365824
2029-06-01,5.2790993201401815
2029-07-01,2.5199434655040482
2029-08-01,-2.4027402342618727
2029-09-01,-6.445291558309558
2029-10-01,-7.438152685274127
2029-11-01,-5.6103502724682714
2029-12-01,-2.178281838113966
2030-01-01,1.4865815871298889
2030-02-01,4.99748304590237
2030-03-01,6.6496451333479865
