,twsa_forecast
2025-04-01,-30.230449347649255
2025-05-01,-30.507499841179992
2025-06-01,-30.720898801055228
2025-07-01,-32.2295518821079
2025-08-01,-35.712528969201
2025-09-01,-39.04317068695377
2025-10-01,-40.71715727565163
2025-11-01,-41.09460535658627
2025-12-01,-39.673626950329606
2026-01-01,-37.083760444840266
2026-02-01,-34.0598712309486
2026-03-01,-32.951639132620016
2026-04-01,-33.149572507892344
2026-05-01,-34.4344429066723
2026-06-01,-36.6074488288524
2026-07-01,-39.826823598094734
2026-08-01,-44.837968774364754
2026-09-01,-49.3196673437501
2026-10-01,-51.49414387487809
2026-11-01,-51.85837838379484
2026-12-01,-50.3027589275905
2027-01-01,-47.67425402052595
2027-02-01,-44.66342638834192
2027-03-01,-43.76618513914707
2027-04-01,-44.22152163589203
2027-05-01,-46.035531009517285
2027-06-01,-48.56200523209054
2027-07-01,-52.226229623097424
2027-08-01,-57.41769281718007
2027-09-01,-61.939027538345506
2027-10-01,-64.50745565082343
2027-11-01,-65.30921594811616
2027-12-01,-64.43830508035717
2028-01-01,-62.39189476308298
2028-02-01,-59.98053791021334
2028-03-01,-59.42658115419704
2028-04-01,-60.10229264655891
2028-05-01,-62.183426131530275
2028-06-01,-64.90754526728551
2028-07-01,-68.72574999183144
2028-08-01,-74.05920591131917
2028-09-01,-78.79995256637585
2028-10-01,-81.73521864942131
2028-11-01,-83.07364623440435
2028-12-01,-82.91748235238401
2029-01-01,-81.71714047462046
2029-02-01,-80.1972045092748
2029-03-01,-80.37599623400183
2029-04-01,-81.59250659449981
2029-05-01,-83.98398877448699
2029-06-01,-86.88142980950943
2029-07-01,-90.77525541875048
2029-08-01,-96.10153630016839
2029-09-01,-100.93623396262274
2029-10-01,-104.19082027683544
2029-11-01,-106.0794947762679
2029-12-01,-106.70320093544433
2030-01-01,-106.44148183687321
2030-02-01,-105.905190645326
2030-03-01,-106.81160425870985
