,twsa_forecast
2025-04-01,-11.213827936165499
2025-05-01,-11.117675495804859
2025-06-01,-13.84144611998414
2025-07-01,-19.90633250395825
2025-08-01,-26.515877692767727
2025-09-01,-31.21007293555274
2025-10-01,-33.23435717850713
2025-11-01,-31.034652737013115
2025-12-01,-26.238713859581875
2026-01-01,-20.17751790535652
2026-02-01,-13.975895624731434
2026-03-01,-9.760263944211257
2026-04-01,-7.133856582020482
2026-05-01,-7.378432890038309
2026-06-01,-10.260193194761937
2026-07-01,-16.059856507773926
2026-08-01,-21.667950771825186
2026-09-01,-25.62026578139307
2026-10-01,-26.874290555426565
2026-11-01,-24.37895302431701
2026-12-01,-19.891479007260042
2027-01-01,-14.212872094872237
2027-02-01,-8.683006246764872
2027-03-01,-4.841104644523054
2027-04-01,-1.7193327649132442
2027-05-01,-1.4502791824448849
2027-06-01,-3.927227360081244
2027-07-01,-9.752287334710669
2027-08-01,-15.841155071511137
2027-09-01,-20.41115817548012
2027-10-01,-22.331310349569886
2027-11-01,-20.48126990016595
2027-12-01,-16.20435325581627
2028-01-01,-10.815646345598905
2028-02-01,-5.264769844004829
2028-03-01,-1.6269464306531034
2028-04-01,0.5748650739429907
2028-05-01,0.1634240204701912
2028-06-01,-2.9609691591531346
2028-07-01,-9.298973106697641
2028-08-01,-15.701131278897263
2028-09-01,-20.424710682982433
2028-10-01,-22.3960651546335
2028-11-01,-20.60571563526707
2028-12-01,-16.44060677527767
2029-01-01,-11.186676227241717
2029-02-01,-5.7752825128533205
2029-03-01,-2.2489480771034747
2029-04-01,-0.15902164335454633
2029-05-01,-0.7463474193558539
2029-06-01,-4.112293073197631
2029-07-01,-10.690670876035595
2029-08-01,-17.233459861798163
2029-09-01,-21.93011136574449
2029-10-01,-23.73377348247686
2029-11-01,-21.701298280780914
2029-12-01,-17.273587649842906
2030-01-01,-11.795788741868874
2030-02-01,-6.211442361048168
2030-03-01,-2.5938390248277274
