,twsa_forecast
2025-04-01,-8.208065319570007
2025-05-01,-9.015915081921401
2025-06-01,-11.2592879080565
2025-07-01,-15.05419578614879
2025-08-01,-21.07894357887361
2025-09-01,-25.438833646255073
2025-10-01,-26.269041224060977
2025-11-01,-24.094399927126037
2025-12-01,-19.549388866501126
2026-01-01,-14.748266853334966
2026-02-01,-9.343943219061915
2026-03-01,-6.309355269331577
2026-04-01,-4.244192817031982
2026-05-01,-3.7732699846667077
2026-06-01,-5.605152349427047
2026-07-01,-9.11807129625261
2026-08-01,-14.844752898217621
2026-09-01,-18.606536867164483
2026-10-01,-18.029313617301632
2026-11-01,-14.773318400847618
2026-12-01,-8.677413997244182
2027-01-01,-2.0755505754364156
2027-02-01,4.877397530895589
2027-03-01,9.15817949835801
2027-04-01,11.678067052507519
2027-05-01,10.828502190841972
2027-06-01,8.064527495314715
2027-07-01,2.9893371190265396
2027-08-01,-3.9423084980061076
2027-09-01,-8.76060967894912
2027-10-01,-9.344087784288648
2027-11-01,-6.433633175913634
2027-12-01,-1.6007598201158666
2028-01-01,3.3784328204999547
2028-02-01,7.729512038882075
2028-03-01,9.143633023988007
2028-04-01,8.978260042286454
2028-05-01,6.220434187736271
2028-06-01,2.5747658120420556
2028-07-01,-2.481447968816879
2028-08-01,-8.86759115929264
2028-09-01,-13.264274281588051
2028-10-01,-14.03163132393134
2028-11-01,-11.934044497555677
2028-12-01,-8.166517273406747
2029-01-01,-4.094580657604995
2029-02-01,-0.20727632426631662
2029-03-01,1.5082663711399416
2029-04-01,2.2462782787365896
2029-05-01,0.7713017582969646
2029-06-01,-1.5515947927840374
2029-07-01,-5.557246645848098
2029-08-01,-11.186324231843713
2029-09-01,-15.105669038267466
2029-10-01,-15.499919293214086
2029-11-01,-12.946845988127711
2029-12-01,-8.633305540287438
2030-01-01,-3.8777553054286265
2030-02-01,0.7627499219955185
2030-03-01,3.2004152003000956
