,twsa_forecast
2025-04-01,-29.691425981936277
2025-05-01,-30.25190052062669
2025-06-01,-30.406030562339197
2025-07-01,-31.654024369146327
2025-08-01,-34.87851295050916
2025-09-01,-37.98547627964055
2025-10-01,-39.51246108089151
2025-11-01,-40.02383681581307
2025-12-01,-38.73368760642265
2026-01-01,-36.18759499492853
2026-02-01,-32.89949595837243
2026-03-01,-31.12961306887655
2026-04-01,-30.40704839534783
2026-05-01,-30.62067283033798
2026-06-01,-31.903382502004547
2026-07-01,-34.467137711189935
2026-08-01,-39.33151524724778
2026-09-01,-44.03692963229787
2026-10-01,-46.393378273984354
2026-11-01,-47.074278432553456
2026-12-01,-45.66548800604096
2027-01-01,-42.951564088184284
2027-02-01,-39.37276760830301
2027-03-01,-37.38051810241302
2027-04-01,-36.3791005037163
2027-05-01,-36.658806035189286
2027-06-01,-37.85673090187785
2027-07-01,-40.5662509803696
2027-08-01,-45.372136665841936
2027-09-01,-49.95050289826054
2027-10-01,-52.77434958605795
2027-11-01,-53.86075258955657
2027-12-01,-53.06196089580112
2028-01-01,-50.67954884027472
2028-02-01,-47.33767261952892
2028-03-01,-45.14944575780987
2028-04-01,-43.782969798814975
2028-05-01,-43.79628195914222
2028-06-01,-44.7808258948362
2028-07-01,-47.3421739061348
2028-08-01,-52.08465863657125
2028-09-01,-56.75346321143934
2028-10-01,-59.80111631573209
2028-11-01,-61.1895811191323
2028-12-01,-60.7443526626605
2029-01-01,-58.720062640870765
2029-02-01,-55.68930465166659
2029-03-01,-53.663499291047856
2029-04-01,-52.310027860340824
2029-05-01,-52.17218314676643
2029-06-01,-52.90352217982786
2029-07-01,-55.17174706460651
2029-08-01,-59.654845953126596
2029-09-01,-64.25319822670303
2029-10-01,-67.45519680642133
2029-11-01,-69.15255521441964
2029-12-01,-69.12308096134097
2030-01-01,-67.551068460142
2030-02-01,-64.94570076871582
2030-03-01,-63.200841052702124
