time,number,expver,precip_mm
2002-01-01,0,0001,2.4092753
2002-02-01,0,0001,1.4916642
2002-03-01,0,0001,2.7597444
2002-04-01,0,0001,3.7321653
2002-05-01,0,0001,1.6926395
2002-06-01,0,0001,1.3529725
2002-07-01,0,0001,1.2614143
2002-08-01,0,0001,1.0775105
2002-09-01,0,0001,1.3976116
2002-10-01,0,0001,1.3613312
2002-11-01,0,0001,1.522635
2002-12-01,0,0001,2.4390361
2003-01-01,0,0001,2.144358
2003-02-01,0,0001,4.0863256
2003-03-01,0,0001,2.795273
2003-04-01,0,0001,3.2083578
2003-05-01,0,0001,1.7012814
2003-06-01,0,0001,0.6580744
2003-07-01,0,0001,0.6770183
2003-08-01,0,0001,0.43498918
2003-09-01,0,0001,1.089645
2003-10-01,0,0001,2.249914
2003-11-01,0,0001,1.7513851
2003-12-01,0,0001,2.8038592
2004-01-01,0,0001,4.1467123
2004-02-01,0,0001,2.7565708
2004-03-01,0,0001,1.50124
2004-04-01,0,0001,2.3729622
2004-05-01,0,0001,2.36106
2004-06-01,0,0001,1.3846433
2004-07-01,0,0001,0.56489694
2004-08-01,0,0001,0.8486183
2004-09-01,0,0001,0.3815481
2004-10-01,0,0001,0.87322795
2004-11-01,0,0001,3.3082297
2004-12-01,0,0001,1.2640115
2005-01-01,0,0001,2.5652814
2005-02-01,0,0001,2.8353732
2005-03-01,0,0001,3.0756292
2005-04-01,0,0001,2.3239253
2005-05-01,0,0001,2.294554
2005-06-01,0,0001,1.4297016
2005-07-01,0,0001,0.82309985
2005-08-01,0,0001,0.8376694
2005-09-01,0,0001,1.106936
2005-10-01,0,0001,1.9692737
2005-11-01,0,0001,2.4520335
2005-12-01,0,0001,1.9534363
2006-01-01,0,0001,2.6163821
2006-02-01,0,0001,3.400219
2006-03-01,0,0001,2.624301
2006-04-01,0,0001,2.8701587
2006-05-01,0,0001,1.7903374
2006-06-01,0,0001,1.0152546
2006-07-01,0,0001,0.846094
2006-08-01,0,0001,0.3615051
2006-09-01,0,0001,1.3889053
2006-10-01,0,0001,3.1202393
2006-11-01,0,0001,2.0046391
2006-12-01,0,0001,0.84473175
2007-01-01,0,0001,1.8633822
2007-02-01,0,0001,2.076377
2007-03-01,0,0001,2.475602
2007-04-01,0,0001,2.6699746
2007-05-01,0,0001,1.7488012
2007-06-01,0,0001,1.2670377
2007-07-01,0,0001,0.6355337
2007-08-01,0,0001,0.9102215
2007-09-01,0,0001,0.47743854
2007-10-01,0,0001,1.5740279
2007-11-01,0,0001,3.1138444
2007-12-01,0,0001,2.5235991
2008-01-01,0,0001,1.7279111
2008-02-01,0,0001,1.6689312
2008-03-01,0,0001,1.9326104
2008-04-01,0,0001,1.6305923
2008-05-01,0,0001,1.8017902
2008-06-01,0,0001,1.0050147
2008-07-01,0,0001,0.5150271
2008-08-01,0,0001,0.51756597
2008-09-01,0,0001,1.9822764
2008-10-01,0,0001,1.1769584
2008-11-01,0,0001,1.7396067
2008-12-01,0,0001,1.9999678
2009-01-01,0,0001,2.480377
2009-02-01,0,0001,3.8846781
2009-03-01,0,0001,3.253198
2009-04-01,0,0001,2.4550793
2009-05-01,0,0001,1.9500756
2009-06-01,0,0001,1.3403821
2009-07-01,0,0001,1.3446773
2009-08-01,0,0001,0.48214972
2009-09-01,0,0001,1.6882893
2009-10-01,0,0001,1.5810732
2009-11-01,0,0001,2.809215
2009-12-01,0,0001,3.2079926
2010-01-01,0,0001,3.9146693
2010-02-01,0,0001,3.0996451
2010-03-01,0,0001,2.446395
2010-04-01,0,0001,2.6697433
2010-05-01,0,0001,1.9040465
2010-06-01,0,0001,2.1959698
2010-07-01,0,0001,0.767049
2010-08-01,0,0001,0.34108147
2010-09-01,0,0001,0.7675615
2010-10-01,0,0001,3.1549027
2010-11-01,0,0001,0.4125066
2010-12-01,0,0001,2.7626383
2011-01-01,0,0001,2.2447996
2011-02-01,0,0001,2.4435153
2011-03-01,0,0001,2.2392042
2011-04-01,0,0001,4.2358956
2011-05-01,0,0001,3.021562
2011-06-01,0,0001,1.7486049
2011-07-01,0,0001,0.766002
2011-08-01,0,0001,0.60377944
2011-09-01,0,0001,0.8744019
2011-10-01,0,0001,2.075372
2011-11-01,0,0001,1.3983874
2011-12-01,0,0001,1.919751
2012-01-01,0,0001,3.8426402
2012-02-01,0,0001,3.3806329
2012-03-01,0,0001,2.1057572
2012-04-01,0,0001,1.7872385
2012-05-01,0,0001,2.879076
2012-06-01,0,0001,1.0276288
2012-07-01,0,0001,0.78195304
2012-08-01,0,0001,0.80688244
2012-09-01,0,0001,0.45078513
2012-10-01,0,0001,1.6821306
2012-11-01,0,0001,2.1537635
2012-12-01,0,0001,4.1867394
2013-01-01,0,0001,3.3696153
2013-02-01,0,0001,2.6604478
2013-03-01,0,0001,2.2926743
2013-04-01,0,0001,2.1748965
2013-05-01,0,0001,1.9763849
2013-06-01,0,0001,1.1121373
2013-07-01,0,0001,0.5928791
2013-08-01,0,0001,0.42837998
2013-09-01,0,0001,0.86130357
2013-10-01,0,0001,1.514391
2013-11-01,0,0001,1.7103639
2013-12-01,0,0001,1.5225976
2014-01-01,0,0001,1.9240392
2014-02-01,0,0001,0.9464662
2014-03-01,0,0001,2.8497553
2014-04-01,0,0001,2.0263
2014-05-01,0,0001,2.4890506
2014-06-01,0,0001,1.917612
2014-07-01,0,0001,0.77900225
2014-08-01,0,0001,0.7309406
2014-09-01,0,0001,2.1410022
2014-10-01,0,0001,2.390449
2014-11-01,0,0001,2.22848
2014-12-01,0,0001,2.7546368
2015-01-01,0,0001,2.9354188
2015-02-01,0,0001,3.2847784
2015-03-01,0,0001,3.446304
2015-04-01,0,0001,2.6165454
2015-05-01,0,0001,2.231718
2015-06-01,0,0001,2.396689
2015-07-01,0,0001,0.3487194
2015-08-01,0,0001,0.95942086
2015-09-01,0,0001,0.89262444
2015-10-01,0,0001,2.865143
2015-11-01,0,0001,1.527492
2015-12-01,0,0001,0.934439
2016-01-01,0,0001,4.112172
2016-02-01,0,0001,2.1320992
2016-03-01,0,0001,2.907966
2016-04-01,0,0001,1.5290796
2016-05-01,0,0001,2.986456
2016-06-01,0,0001,1.6440996
2016-07-01,0,0001,0.7204605
2016-08-01,0,0001,0.78324383
2016-09-01,0,0001,1.2241532
2016-10-01,0,0001,0.9406176
2016-11-01,0,0001,1.6323869
2016-12-01,0,0001,3.3337178
2017-01-01,0,0001,2.6293526
2017-02-01,0,0001,0.77276987
2017-03-01,0,0001,2.6085315
2017-04-01,0,0001,2.6417031
2017-05-01,0,0001,2.9073324
2017-06-01,0,0001,1.4271022
2017-07-01,0,0001,0.5302338
2017-08-01,0,0001,0.7361769
2017-09-01,0,0001,0.5135374
2017-10-01,0,0001,1.6698062
2017-11-01,0,0001,2.0353334
2017-12-01,0,0001,2.2668831
2018-01-01,0,0001,3.0210855
2018-02-01,0,0001,2.3957384
2018-03-01,0,0001,2.6723187
2018-04-01,0,0001,1.1428641
2018-05-01,0,0001,3.5095792
2018-06-01,0,0001,1.8560768
2018-07-01,0,0001,0.792148
2018-08-01,0,0001,0.63888854
2018-09-01,0,0001,0.8951666
2018-10-01,0,0001,2.2007165
2018-11-01,0,0001,2.537695
2018-12-01,0,0001,4.551545
2019-01-01,0,0001,4.192386
2019-02-01,0,0001,2.3514252
2019-03-01,0,0001,2.8496737
2019-04-01,0,0001,3.1290321
2019-05-01,0,0001,1.7111083
2019-06-01,0,0001,1.8814245
2019-07-01,0,0001,0.8366782
2019-08-01,0,0001,0.6812972
2019-09-01,0,0001,0.74510986
2019-10-01,0,0001,0.9854138
2019-11-01,0,0001,1.1879106
2019-12-01,0,0001,3.2340212
2020-01-01,0,0001,2.570442
2020-02-01,0,0001,3.2771525
2020-03-01,0,0001,2.9620814
2020-04-01,0,0001,2.3837442
2020-05-01,0,0001,2.4844873
2020-06-01,0,0001,1.4874872
2020-07-01,0,0001,0.6254488
2020-08-01,0,0001,0.5362005
2020-09-01,0,0001,0.36985955
2020-10-01,0,0001,0.7390992
2020-11-01,0,0001,1.4343498
2020-12-01,0,0001,1.5027958
2021-01-01,0,0001,3.2970264
2021-02-01,0,0001,1.5740874
2021-03-01,0,0001,3.3146973
2021-04-01,0,0001,1.8349204
2021-05-01,0,0001,1.1482244
2021-06-01,0,0001,1.3201206
2021-07-01,0,0001,0.8043119
2021-08-01,0,0001,0.840876
2021-09-01,0,0001,1.1305267
2021-10-01,0,0001,1.1485958
2021-11-01,0,0001,1.6705079
2021-12-01,0,0001,2.773429
2022-01-01,0,0001,3.2954369
2022-02-01,0,0001,2.4636207
2022-03-01,0,0001,3.2390802
2022-04-01,0,0001,1.4235463
2022-05-01,0,0001,2.0047567
2022-06-01,0,0001,2.0731316
2022-07-01,0,0001,0.3714927
2022-08-01,0,0001,0.5722661
2022-09-01,0,0001,0.43570977
2022-10-01,0,0001,0.6500547
2022-11-01,0,0001,0.9085937
2022-12-01,0,0001,0.56843764
2023-01-01,0,0001,0.6472703
2023-02-01,0,0001,1.0836965
2023-03-01,0,0001,2.035185
2023-04-01,0,0001,1.9379339
2023-05-01,0,0001,1.4719881
2023-06-01,0,0001,1.2797314
2023-07-01,0,0001,0.3737404
2023-08-01,0,0001,0.18379478
2023-09-01,0,0001,0.4061431
2023-10-01,0,0001,0.6749081
2023-11-01,0,0001,1.9827121
2023-12-01,0,0001,1.3266625
2024-01-01,0,0001,1.7408993
