,twsa_forecast
2025-04-01,-9.907473302839207
2025-05-01,-11.7793869520101
2025-06-01,-14.721384744058014
2025-07-01,-19.118604624491127
2025-08-01,-23.936438322294634
2025-09-01,-26.877952376678877
2025-10-01,-26.69229806232397
2025-11-01,-23.176394595806414
2025-12-01,-17.717235736618022
2026-01-01,-12.553447471073014
2026-02-01,-7.957899537599588
2026-03-01,-5.909536697392469
2026-04-01,-5.36636858561542
2026-05-01,-6.97203402791638
2026-06-01,-9.393173952579673
2026-07-01,-13.305226588170626
2026-08-01,-17.032228719348495
2026-09-01,-19.111201525858633
2026-10-01,-17.70042624468624
2026-11-01,-13.675422902408172
2026-12-01,-8.280589866320952
2027-01-01,-2.812685168115423
2027-02-01,1.3246105211001111
2027-03-01,3.162490106260519
2027-04-01,3.6297349176893463
2027-05-01,1.8982011234038498
2027-06-01,-0.9221518512058547
2027-07-01,-5.090950994956075
2027-08-01,-9.482199238955218
2027-09-01,-11.974795649817679
2027-10-01,-11.42484956766566
2027-11-01,-7.943855783625623
2027-12-01,-3.523726237923257
2028-01-01,0.8204875315423112
2028-02-01,4.4053203233343075
2028-03-01,5.562455927356495
2028-04-01,5.011751163969165
2028-05-01,2.612497625421382
2028-06-01,-0.6684613863035348
2028-07-01,-5.089220449328423
2028-08-01,-9.569909059850033
2028-09-01,-12.153377926442772
2028-10-01,-11.753205552289728
2028-11-01,-8.517489022560767
2028-12-01,-4.3224984469416095
2029-01-01,-0.10230962216155706
2029-02-01,3.441210781835251
2029-03-01,4.686702026316197
2029-04-01,4.30817902876879
2029-05-01,2.14419191428169
2029-06-01,-0.8417391643743041
2029-07-01,-4.9136478172731595
2029-08-01,-9.062664818069607
2029-09-01,-11.342756495949288
2029-10-01,-10.716072001378052
2029-11-01,-7.284924201507239
2029-12-01,-2.937570369540482
2030-01-01,1.4381619026826218
2030-02-01,5.15777410242299
2030-03-01,6.548367835726821
