,twsa_forecast
2025-04-01,-10.694979409017833
2025-05-01,-12.030629572662292
2025-06-01,-15.378856648560031
2025-07-01,-20.250216561533307
2025-08-01,-25.026310094456676
2025-09-01,-27.710427588805032
2025-10-01,-27.566739632929966
2025-11-01,-24.396454343672303
2025-12-01,-19.414839550434408
2026-01-01,-14.331089020168292
2026-02-01,-9.405502209148835
2026-03-01,-6.613088768295712
2026-04-01,-5.286314548095107
2026-05-01,-6.173276867120877
2026-06-01,-8.232011694926769
2026-07-01,-11.779843414769857
2026-08-01,-15.077872127279988
2026-09-01,-16.75830968088121
2026-10-01,-15.207373371064023
2026-11-01,-11.182509224847308
2026-12-01,-5.900746027211427
2027-01-01,-0.17990327524603447
2027-02-01,4.631442443976993
2027-03-01,6.872935430248616
2027-04-01,7.921495598377076
2027-05-01,6.437590343222836
2027-06-01,3.4852744863746907
2027-07-01,-0.9594965242431509
2027-08-01,-5.488061055759318
2027-09-01,-8.19127364763699
2027-10-01,-8.236897351278458
2027-11-01,-5.634068945990294
2027-12-01,-2.1860270079341726
2028-01-01,1.3755362152587611
2028-02-01,4.35276942110795
2028-03-01,4.800755015327012
2028-04-01,3.5424125885328963
2028-05-01,0.2978000510629489
2028-06-01,-3.702025106351358
2028-07-01,-8.592873094923561
2028-08-01,-13.234506210872496
2028-09-01,-16.00218915149162
2028-10-01,-16.150431702815695
2028-11-01,-13.78898682417639
2028-12-01,-10.5131391921459
2029-01-01,-6.84704850500566
2029-02-01,-3.4164198688231417
2029-03-01,-1.992338823605679
2029-04-01,-1.9138999620045078
2029-05-01,-3.734820200013929
2029-06-01,-6.482562991339365
2029-07-01,-10.40175977072795
2029-08-01,-14.33215493595344
2029-09-01,-16.459794322167
2029-10-01,-15.946628604695434
2029-11-01,-12.776875959825702
2029-12-01,-8.580468343221582
2030-01-01,-3.87504455659655
2030-02-01,0.6362120106059582
2030-03-01,2.9464703592238934
