,twsa,precip_mm
2002-04-01,12.647483825683594,3.7321653
2002-05-01,10.2199068069458,1.6926395
2002-06-01,,1.3529725
2002-07-01,,1.2614143
2002-08-01,-2.823249340057373,1.0775105
2002-09-01,-4.058619022369385,1.3976116
2002-10-01,-4.198392391204834,1.3613312
2002-11-01,-1.27484929561615,1.522635
2002-12-01,0.705152153968811,2.4390361
2003-01-01,2.9765493869781494,2.144358
2003-02-01,8.312358856201172,4.0863256
2003-03-01,11.979394912719727,2.795273
2003-04-01,12.514991760253906,3.2083578
2003-05-01,10.414074897766113,1.7012814
2003-06-01,,0.6580744
2003-07-01,-0.21865977346897125,0.6770183
2003-08-01,-3.1030900478363037,0.43498918
2003-09-01,-4.833442211151123,1.089645
2003-10-01,-6.863309860229492,2.249914
2003-11-01,-2.2438697814941406,1.7513851
2003-12-01,1.1651438474655151,2.8038592
2004-01-01,5.768054008483887,4.1467123
2004-02-01,14.710918426513672,2.7565708
2004-03-01,14.72981071472168,1.50124
2004-04-01,13.089162826538086,2.3729622
2004-05-01,10.729308128356934,2.36106
2004-06-01,7.226322174072266,1.3846433
2004-07-01,4.646675109863281,0.56489694
2004-08-01,-1.6609398126602173,0.8486183
2004-09-01,-4.347105026245117,0.3815481
2004-10-01,-7.3032660484313965,0.87322795
2004-11-01,-3.6012091636657715,3.3082297
2004-12-01,1.2933733463287354,1.2640115
2005-01-01,3.1999545097351074,2.5652814
2005-02-01,8.121411323547363,2.8353732
2005-03-01,12.32750415802002,3.0756292
2005-04-01,11.266915321350098,2.3239253
2005-05-01,11.409287452697754,2.294554
2005-06-01,8.083073616027832,1.4297016
2005-07-01,1.1037310361862183,0.82309985
2005-08-01,-3.0054566860198975,0.8376694
2005-09-01,-4.61477518081665,1.106936
2005-10-01,-4.615535736083984,1.9692737
2005-11-01,-2.272653579711914,2.4520335
2005-12-01,1.1385999917984009,1.9534363
2006-01-01,3.785280704498291,2.6163821
2006-02-01,7.632690906524658,3.400219
2006-03-01,11.801335334777832,2.624301
2006-04-01,13.115673065185547,2.8701587
2006-05-01,10.094666481018066,1.7903374
2006-06-01,5.489614009857178,1.0152546
2006-07-01,0.5040517449378967,0.846094
2006-08-01,-5.844143867492676,0.3615051
2006-09-01,-6.8039960861206055,1.3889053
2006-10-01,-6.516214370727539,3.1202393
2006-11-01,0.08930551260709763,2.0046391
2006-12-01,-0.06280789524316788,0.84473175
